,Pais,Sexo,Edad,Causa de Muerte,Cantidad
230,0,0,3,50,260
231,0,0,3,51,2293
232,0,0,3,52,1002
233,0,0,3,53,630
234,0,0,3,54,33
235,0,0,3,55,36
236,0,0,3,56,19
237,0,0,3,57,24
238,0,0,3,58,445
239,0,0,3,59,309
240,0,0,4,0,591
241,0,0,4,1,8
242,0,0,4,2,37
243,0,0,4,3,0
244,0,0,4,4,0
245,0,0,4,5,0
246,0,0,4,6,0
247,0,0,4,7,163
248,0,0,4,8,0
249,0,0,4,9,0
250,0,0,4,10,17
251,0,0,4,11,312
252,0,0,4,12,0
253,0,0,4,13,1436
254,0,0,4,14,1365
255,0,0,4,15,48
256,0,0,4,16,43
257,0,0,4,17,126
258,0,0,4,18,163
259,0,0,4,19,42
260,0,0,4,20,97
261,0,0,4,21,182
262,0,0,4,22,14
263,0,0,4,23,172
264,0,0,4,24,35
265,0,0,4,25,17
266,0,0,4,26,246
267,0,0,4,27,181
268,0,0,4,28,10
269,0,0,4,29,52
270,0,0,4,30,140
271,0,0,4,31,1773
272,0,0,4,32,3
273,0,0,4,33,92
274,0,0,4,34,572
275,0,0,4,35,419
276,0,0,4,36,46
277,0,0,4,37,730
278,0,0,4,38,0
279,0,0,4,39,366
280,0,0,4,40,66
281,0,0,4,41,694
282,0,0,4,42,6
283,0,0,4,43,440
284,0,0,4,44,24
285,0,0,4,45,160
286,0,0,4,46,139
287,0,0,4,47,0
288,0,0,4,48,0
289,0,0,4,49,14
290,0,0,4,50,490
291,0,0,4,51,1658
292,0,0,4,52,797
293,0,0,4,53,462
294,0,0,4,54,33
295,0,0,4,55,33
296,0,0,4,56,18
297,0,0,4,57,20
298,0,0,4,58,299
299,0,0,4,59,176
300,0,0,5,0,730
301,0,0,5,1,16
302,0,0,5,2,59
303,0,0,5,3,0
304,0,0,5,4,0
305,0,0,5,5,0
306,0,0,5,6,0
307,0,0,5,7,346
308,0,0,5,8,0
309,0,0,5,9,0
310,0,0,5,10,20
311,0,0,5,11,208
312,0,0,5,12,0
313,0,0,5,13,4242
314,0,0,5,14,4063
315,0,0,5,15,143
316,0,0,5,16,147
317,0,0,5,17,279
318,0,0,5,18,496
319,0,0,5,19,160
320,0,0,5,20,297
321,0,0,5,21,928
322,0,0,5,22,133
323,0,0,5,23,317
324,0,0,5,24,53
325,0,0,5,25,22
326,0,0,5,26,634
327,0,0,5,27,544
328,0,0,5,28,12
329,0,0,5,29,115
330,0,0,5,30,180
331,0,0,5,31,4554
332,0,0,5,32,4
333,0,0,5,33,226
334,0,0,5,34,1674
335,0,0,5,35,980
336,0,0,5,36,126
337,0,0,5,37,1675
338,0,0,5,38,3
339,0,0,5,39,751
340,0,0,5,40,271
341,0,0,5,41,1520
342,0,0,5,42,25
343,0,0,5,43,977
344,0,0,5,44,47
345,0,0,5,45,399
346,0,0,5,46,325
347,0,0,5,47,2
348,0,0,5,48,0
349,0,0,5,49,17
350,0,0,5,50,954
351,0,0,5,51,1402
352,0,0,5,52,671
353,0,0,5,53,407
354,0,0,5,54,32
355,0,0,5,55,17
356,0,0,5,56,15
357,0,0,5,57,11
358,0,0,5,58,270
359,0,0,5,59,109
360,0,0,6,0,1205
361,0,0,6,1,42
362,0,0,6,2,70
363,0,0,6,3,0
364,0,0,6,4,0
365,0,0,6,5,0
366,0,0,6,6,0
367,0,0,6,7,844
368,0,0,6,8,0
369,0,0,6,9,0
370,0,0,6,10,19
371,0,0,6,11,104
372,0,0,6,12,0
373,0,0,6,13,9180
374,0,0,6,14,8825
375,0,0,6,15,207
376,0,0,6,16,367
377,0,0,6,17,544
378,0,0,6,18,1116
379,0,0,6,19,362
380,0,0,6,20,578
381,0,0,6,21,2094
382,0,0,6,22,626
383,0,0,6,23,543
384,0,0,6,24,109
385,0,0,6,25,64
386,0,0,6,26,1448
387,0,0,6,27,1249
388,0,0,6,28,41
389,0,0,6,29,152
390,0,0,6,30,300
391,0,0,6,31,9552
392,0,0,6,32,8
393,0,0,6,33,624
394,0,0,6,34,3185
395,0,0,6,35,2051
396,0,0,6,36,328
397,0,0,6,37,4572
398,0,0,6,38,1
399,0,0,6,39,2027
400,0,0,6,40,943
401,0,0,6,41,2296
402,0,0,6,42,44
403,0,0,6,43,1274
404,0,0,6,44,79
405,0,0,6,45,1029
406,0,0,6,46,802
407,0,0,6,47,5
408,0,0,6,48,0
409,0,0,6,49,11
